token_address,decimals
0x2A6bf91dC40A12667F438c4Fa8e43dB779A04E4C,9
0x6d4CBbC0D90A893A557e51306c837d14bCfa892B,18
0x67Cc621AB2d086a101Cff3340df0A065Ac75827c,18
0xd12Fb0cd9dd19B5124dD7506769Aa741bf031C30,18
0xD515E6bFF3A873F53003ADC8d682bD0AEC2A878C,18
0xe4ea7Aa0b39a5158950e1C070047317b894314e8,9
0x365bE9A75F5fA675ab063692DE7Fb334e3Eb90B7,9
0xC436053a2bEf289a530520a490de839978fFd427,9
0x67e20C21fb80F18CC98cC072ec2175368eB050e3,9
0x8661C7Ffe45a1D02d69E563B3570717eeBfF7863,18
0x7B699cEFbd6c1e8c94545180D5260b104e80F21F,9
0x3576abBd80995ef22A74E9e83C2749a69439bCaf,9
0xe657877C09F6780eaD2D9199ad07a81E13682779,18
0x6A4912F5a545999dE7f6aDE83bAC8F4b1e8aE997,18
0x43326fa9Dff053963BD21182ad381c6C42DfD5ab,9
0x05d392cC83c78af6c71740A94CEC0eA5F8349EED,18
0xa4f5Dd69Db954c71587173De7d5D7DD330111766,18
0x6Eb0439B8a176bfa2caAC16da4f8Cb72a93193e3,18
0xA1062691304C5b46C1f48445C9FD3BBB9DdBd8d8,18
0x26644b98011F74BBd45F85F65C1d7eB480D1B6d2,9
0x42dbBd5ae373FEA2FC320F62d44C058522Bb3758,18
0xf520C972486B057EbaD734371C9314E86D62E147,18
0xc2Ba0B181Fe6E8E0A6a68EE46C6712426DA459B3,9
0x5BeB30d587E47b5492b2BC202cf0ba9e8dcacf4f,9
0x2CEeE24f8D03fC25648c68C8e6569AA0512F6Ac3,9
0x53CC8f2dd5dD110f8Fd4c5887FEf2A6f2E164915,18
0x591119C6cf7bCD650cA57e6478DfB758CD95a903,18
0xD528cf2E081f72908e086F8800977df826B5a483,18
0x5911614f36315a14d49aEe4c65A33f4F3baAa903,18
0xCB5db5AE63EffaD2e728F2ef6446F7c068Fd05a7,9
